symbol,setup_name,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,r_multiple,outcome
XME,PrevDayBreakout_D1,2025-06-03T00:00:00-04:00,2025-06-04T00:00:00-04:00,63.53,61.64,67.31,2025-06-10T00:00:00-04:00,64.84,time stop win,0.6931,win
XME,PrevDayBreakout_D1,2025-06-04T00:00:00-04:00,2025-06-05T00:00:00-04:00,65.02,61.435,72.19,2025-06-11T00:00:00-04:00,64.35,time stop loss,-0.1869,loss
XME,PrevDayBreakout_D1,2025-06-09T00:00:00-04:00,2025-06-10T00:00:00-04:00,65.49,64.22,68.03,2025-06-11T00:00:00-04:00,64.22,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-06-12T00:00:00-04:00,2025-06-13T00:00:00-04:00,64.28,63.76,65.32,2025-06-13T00:00:00-04:00,65.32,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-06-13T00:00:00-04:00,2025-06-16T00:00:00-04:00,66.22,63.79,71.08,2025-06-23T00:00:00-04:00,66.22,time stop scratch,0.0,scratch
XME,PrevDayBreakout_D1,2025-06-16T00:00:00-04:00,2025-06-17T00:00:00-04:00,66.465,64.28,70.835,2025-06-24T00:00:00-04:00,65.98,time stop loss,-0.222,loss
XME,PrevDayBreakout_D1,2025-06-17T00:00:00-04:00,2025-06-18T00:00:00-04:00,66.66,66.1,67.78,2025-06-20T00:00:00-04:00,66.1,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-06-26T00:00:00-04:00,2025-06-27T00:00:00-04:00,66.665,65.2,69.595,2025-07-02T00:00:00-04:00,69.595,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-06-30T00:00:00-04:00,2025-07-01T00:00:00-04:00,67.015,65.68,69.685,2025-07-02T00:00:00-04:00,69.685,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-07-02T00:00:00-04:00,2025-07-03T00:00:00-04:00,69.97,66.115,77.68,2025-07-10T00:00:00-04:00,72.14,time stop win,0.5629,win
XME,PrevDayBreakout_D1,2025-07-10T00:00:00-04:00,2025-07-11T00:00:00-04:00,71.905,68.07,79.575,2025-07-17T00:00:00-04:00,74.61,time stop win,0.7053,win
XME,PrevDayBreakout_D1,2025-07-11T00:00:00-04:00,2025-07-14T00:00:00-04:00,72.92,71.005,76.75,2025-07-18T00:00:00-04:00,75.18,time stop win,1.1802,win
XME,PrevDayBreakout_D1,2025-07-17T00:00:00-04:00,2025-07-18T00:00:00-04:00,74.92,71.4,81.96,2025-07-24T00:00:00-04:00,77.23,time stop win,0.6563,win
XME,PrevDayBreakout_D1,2025-07-18T00:00:00-04:00,2025-07-21T00:00:00-04:00,76.57,71.985,85.74,2025-07-25T00:00:00-04:00,77.54,time stop win,0.2116,win
XME,PrevDayBreakout_D1,2025-07-21T00:00:00-04:00,2025-07-22T00:00:00-04:00,76.89,74.85,80.97,2025-07-28T00:00:00-04:00,76.2,time stop loss,-0.3382,loss
XME,PrevDayBreakout_D1,2025-07-22T00:00:00-04:00,2025-07-23T00:00:00-04:00,78.54,75.89,83.84,2025-07-28T00:00:00-04:00,75.89,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-08-04T00:00:00-04:00,2025-08-05T00:00:00-04:00,74.35,71.09,80.87,2025-08-11T00:00:00-04:00,78.725,time stop win,1.342,win
XME,PrevDayBreakout_D1,2025-08-05T00:00:00-04:00,2025-08-06T00:00:00-04:00,76.185,72.55,83.455,2025-08-12T00:00:00-04:00,80.995,time stop win,1.3232,win
XME,PrevDayBreakout_D1,2025-08-07T00:00:00-04:00,2025-08-08T00:00:00-04:00,79.335,75.34,87.325,2025-08-14T00:00:00-04:00,80.59,time stop win,0.3141,win
XME,PrevDayBreakout_D1,2025-08-08T00:00:00-04:00,2025-08-11T00:00:00-04:00,78.305,76.45,82.015,2025-08-15T00:00:00-04:00,79.8,time stop win,0.8059,win
XME,PrevDayBreakout_D1,2025-08-12T00:00:00-04:00,2025-08-13T00:00:00-04:00,80.81,78.01,86.41,2025-08-19T00:00:00-04:00,78.01,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-08-13T00:00:00-04:00,2025-08-14T00:00:00-04:00,80.485,79.4,82.655,2025-08-18T00:00:00-04:00,79.4,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-08-21T00:00:00-04:00,2025-08-22T00:00:00-04:00,77.49,76.455,79.56,2025-08-22T00:00:00-04:00,79.56,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-08-22T00:00:00-04:00,2025-08-25T00:00:00-04:00,80.33,76.59,87.81,2025-08-29T00:00:00-04:00,82.3,time stop win,0.5267,win
XME,PrevDayBreakout_D1,2025-08-25T00:00:00-04:00,2025-08-26T00:00:00-04:00,80.71,77.45,87.23,2025-09-02T00:00:00-04:00,81.55,time stop win,0.2577,win
XME,PrevDayBreakout_D1,2025-08-28T00:00:00-04:00,2025-08-29T00:00:00-04:00,81.97,80.31,85.29,2025-09-02T00:00:00-04:00,80.31,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-08-29T00:00:00-04:00,2025-09-02T00:00:00-04:00,81.435,80.99,82.325,2025-09-02T00:00:00-04:00,80.99,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-09-05T00:00:00-04:00,2025-09-08T00:00:00-04:00,84.365,80.835,91.425,2025-09-12T00:00:00-04:00,85.58,time stop win,0.3442,win
XME,PrevDayBreakout_D1,2025-09-08T00:00:00-04:00,2025-09-09T00:00:00-04:00,84.22,81.63,89.4,2025-09-15T00:00:00-04:00,89.05,time stop win,1.8649,win
XME,PrevDayBreakout_D1,2025-09-10T00:00:00-04:00,2025-09-11T00:00:00-04:00,84.44,83.15,87.02,2025-09-15T00:00:00-04:00,87.02,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-09-11T00:00:00-04:00,2025-09-12T00:00:00-04:00,85.74,84.145,88.93,2025-09-15T00:00:00-04:00,88.93,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-09-15T00:00:00-04:00,2025-09-16T00:00:00-04:00,89.415,85.35,97.545,2025-09-22T00:00:00-04:00,90.92,time stop win,0.3702,win
XME,PrevDayBreakout_D1,2025-09-19T00:00:00-04:00,2025-09-22T00:00:00-04:00,90.315,86.79,97.365,2025-09-26T00:00:00-04:00,92.18,time stop win,0.5291,win
XME,PrevDayBreakout_D1,2025-09-23T00:00:00-04:00,2025-09-24T00:00:00-04:00,91.505,89.22,96.075,2025-09-30T00:00:00-04:00,93.215,time stop win,0.7484,win
XME,PrevDayBreakout_D1,2025-09-29T00:00:00-04:00,2025-09-30T00:00:00-04:00,93.25,91.57,96.61,2025-10-02T00:00:00-04:00,96.61,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-10-01T00:00:00-04:00,2025-10-02T00:00:00-04:00,95.96,91.98,103.92,2025-10-08T00:00:00-04:00,102.26,time stop win,1.5829,win
XME,PrevDayBreakout_D1,2025-10-02T00:00:00-04:00,2025-10-03T00:00:00-04:00,97.41,93.35,105.53,2025-10-09T00:00:00-04:00,102.34,time stop win,1.2143,win
XME,PrevDayBreakout_D1,2025-10-03T00:00:00-04:00,2025-10-06T00:00:00-04:00,99.0,94.17,108.66,2025-10-10T00:00:00-04:00,100.85,time stop win,0.383,win
XME,PrevDayBreakout_D1,2025-10-08T00:00:00-04:00,2025-10-09T00:00:00-04:00,104.12,98.24,115.88,2025-10-15T00:00:00-04:00,107.91,time stop win,0.6446,win
XME,PrevDayBreakout_D1,2025-10-09T00:00:00-04:00,2025-10-10T00:00:00-04:00,103.915,100.635,110.475,2025-10-14T00:00:00-04:00,110.475,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-10-13T00:00:00-04:00,2025-10-14T00:00:00-04:00,106.92,100.78,119.2,2025-10-20T00:00:00-04:00,107.27,time stop win,0.057,win
XME,PrevDayBreakout_D1,2025-10-14T00:00:00-04:00,2025-10-15T00:00:00-04:00,110.26,105.95,118.88,2025-10-15T00:00:00-04:00,105.95,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-10-20T00:00:00-04:00,2025-10-21T00:00:00-04:00,102.62,101.29,105.28,2025-10-21T00:00:00-04:00,101.29,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-11-10T00:00:00-05:00,2025-11-11T00:00:00-05:00,94.52,90.225,103.11,2025-11-14T00:00:00-05:00,90.225,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-11-12T00:00:00-05:00,2025-11-13T00:00:00-05:00,95.98,92.92,102.1,2025-11-13T00:00:00-05:00,92.92,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2025-11-24T00:00:00-05:00,2025-11-25T00:00:00-05:00,91.48,85.74,102.96,2025-12-02T00:00:00-05:00,96.61,time stop win,0.8937,win
XME,PrevDayBreakout_D1,2025-11-25T00:00:00-05:00,2025-11-26T00:00:00-05:00,93.6,88.98,102.84,2025-12-03T00:00:00-05:00,99.69,time stop win,1.3182,win
XME,PrevDayBreakout_D1,2025-11-26T00:00:00-05:00,2025-11-28T00:00:00-05:00,95.59,90.555,105.66,2025-12-04T00:00:00-05:00,100.78,time stop win,1.0308,win
XME,PrevDayBreakout_D1,2025-11-28T00:00:00-05:00,2025-12-01T00:00:00-05:00,96.57,93.525,102.66,2025-12-05T00:00:00-05:00,99.75,time stop win,1.0443,win
XME,PrevDayBreakout_D1,2025-12-03T00:00:00-05:00,2025-12-04T00:00:00-05:00,98.75,95.49,105.27,2025-12-10T00:00:00-05:00,100.13,time stop win,0.4233,win
XME,PrevDayBreakout_D1,2025-12-04T00:00:00-05:00,2025-12-05T00:00:00-05:00,101.33,97.03,109.93,2025-12-11T00:00:00-05:00,104.95,time stop win,0.8419,win
XME,PrevDayBreakout_D1,2025-12-10T00:00:00-05:00,2025-12-11T00:00:00-05:00,99.845,97.75,104.035,2025-12-11T00:00:00-05:00,104.035,TP hit,2.0,win
XME,PrevDayBreakout_D1,2025-12-11T00:00:00-05:00,2025-12-12T00:00:00-05:00,105.46,97.65,121.08,2025-12-18T00:00:00-05:00,102.34,time stop loss,-0.3995,loss
XME,PrevDayBreakout_D1,2025-12-19T00:00:00-05:00,2025-12-22T00:00:00-05:00,107.01,101.465,118.1,2025-12-29T00:00:00-05:00,105.51,time stop loss,-0.2705,loss
XME,PrevDayBreakout_D1,2025-12-22T00:00:00-05:00,2025-12-23T00:00:00-05:00,107.46,102.265,117.85,2025-12-30T00:00:00-05:00,104.71,time stop loss,-0.5294,loss
XME,PrevDayBreakout_D1,2026-01-02T00:00:00-05:00,2026-01-05T00:00:00-05:00,109.7,103.04,123.02,2026-01-09T00:00:00-05:00,116.88,time stop win,1.0781,win
XME,PrevDayBreakout_D1,2026-01-05T00:00:00-05:00,2026-01-06T00:00:00-05:00,112.36,104.77,127.54,2026-01-12T00:00:00-05:00,120.47,time stop win,1.0685,win
XME,PrevDayBreakout_D1,2026-01-06T00:00:00-05:00,2026-01-07T00:00:00-05:00,112.985,109.4,120.155,2026-01-12T00:00:00-05:00,120.155,TP hit,2.0,win
XME,PrevDayBreakout_D1,2026-01-09T00:00:00-05:00,2026-01-12T00:00:00-05:00,118.955,111.72,133.425,2026-01-16T00:00:00-05:00,124.17,time stop win,0.7208,win
XME,PrevDayBreakout_D1,2026-01-12T00:00:00-05:00,2026-01-13T00:00:00-05:00,121.59,114.89,134.99,2026-01-20T00:00:00-05:00,125.79,time stop win,0.6269,win
XME,PrevDayBreakout_D1,2026-01-14T00:00:00-05:00,2026-01-15T00:00:00-05:00,122.54,119.38,128.86,2026-01-21T00:00:00-05:00,128.86,TP hit,2.0,win
XME,PrevDayBreakout_D1,2026-01-20T00:00:00-05:00,2026-01-21T00:00:00-05:00,128.68,121.435,143.17,2026-01-27T00:00:00-05:00,128.38,time stop loss,-0.0414,loss
XME,PrevDayBreakout_D1,2026-01-21T00:00:00-05:00,2026-01-22T00:00:00-05:00,129.355,123.92,140.225,2026-01-28T00:00:00-05:00,128.67,time stop loss,-0.126,loss
XME,PrevDayBreakout_D1,2026-01-22T00:00:00-05:00,2026-01-23T00:00:00-05:00,130.955,125.36,142.145,2026-01-27T00:00:00-05:00,125.36,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2026-02-03T00:00:00-05:00,2026-02-04T00:00:00-05:00,125.945,117.27,143.295,2026-02-05T00:00:00-05:00,117.27,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2026-02-06T00:00:00-05:00,2026-02-09T00:00:00-05:00,122.42,115.27,136.72,2026-02-13T00:00:00-05:00,115.27,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2026-02-09T00:00:00-05:00,2026-02-10T00:00:00-05:00,124.84,118.59,137.34,2026-02-12T00:00:00-05:00,118.59,SL hit,-1.0,loss
XME,PrevDayBreakout_D1,2026-02-18T00:00:00-05:00,2026-02-19T00:00:00-05:00,115.06,111.74,121.7,2026-02-20T00:00:00-05:00,117.48,time stop win,0.7289,win
